codepoint,char,middle_chinese,initial,final,tone,old_initial,old_nucleus,old_coda
20376,侘,ʈʰɰæ³¹,ʈʰɰæ,,³¹,kh‧r,a,̠
20377,侙,ʈʰɨk³̲³̲,ʈʰ,ɨk̲̲,³,kh‧l,ɯ,ɡ
20378,侚,zʷin³³,zʷ,in,³³,sɢʷ,i,ns
20379,供,kjʊŋ³³,kj,ʊŋ,³³,kl,o,ŋs
20380,侜,ʈɨu³³,ʈ,ɨu,³³,k‧l,u,
20381,依,ʔɨi³⁵,ʔ,ɨi,³⁵,q,ɯ,l
20382,侞,ȵjɤ³³,ȵj,ɤ,³³,,,
20383,侟,,,,,s,ɯ,̠ns
20384,侠,ɦep³̲³̲,ɦ,ep̲̲,³,,,
20385,価,,,,,,,
20386,侢,,,,,,,
20387,侣,ljɤ³⁵,lj,ɤ,³⁵,ɡ,ə,r
20388,侤,,,,,,,
20389,侥,keu³⁵,k,eu,³⁵,,,
20390,侦,ʈʰiᴇŋ³³,ʈʰ,iᴇŋ,³³,,,
